property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,1.0,2.0,50.0,46.0,-34.6038639,-58.5036269,medio
Departamento,3.0,4.0,65.0,65.0,-34.5568157,-58.4628438,medio
PH,2.0,3.0,99.39796019730431,75.0,-34.6188681,-58.3876957,bajo
Departamento,1.0,2.0,64.6206937391962,64.6206937391962,-34.5898009,-58.3921343,medio
Departamento,3.0,4.0,100.0,95.0,-34.5630840327,-58.4644409112,medio
Departamento,1.0,2.0,45.0,45.0,-34.6640640278,-58.4719848633,bajo
Departamento,2.0,3.0,51.0,50.0,-34.5884588,-58.4286853,alto
PH,1.0,3.0,53.0,50.0,-34.6203547,-58.3966726,medio
Departamento,3.0,5.0,123.0,112.0,-34.5912974,-58.378101,alto
Casa,2.0,3.0,90.0,70.0,-34.6012702,-58.4864803,alto
Departamento,1.0,1.0,32.0,32.0,-34.5595153,-58.4455045,alto
Departamento,1.0,1.0,38.0,34.0,-34.5731299,-58.4776306,medio
Departamento,2.0,3.0,110.0,101.0,-34.5664911,-58.4375227,alto
Departamento,2.0,3.0,87.0,87.0,-34.6422,-58.3738,alto
Departamento,2.0,3.0,70.0,69.0,-34.623196,-58.461363,medio
Departamento,1.0,2.0,69.0,59.0,-34.6095513,-58.3625696,alto
Departamento,1.0,2.0,41.0,36.0,-34.5638938,-58.4609034,medio
Departamento,1.0,2.0,48.0,37.0,-34.5579909,-58.4642317,medio
PH,4.0,5.0,89.0,89.0,-34.5512813,-58.4698744,alto
Departamento,2.0,3.0,71.0,65.0,-34.5814108,-58.4088481,alto
Departamento,1.0,2.0,115.0,95.0,-34.6149768,-58.3626479,alto
Departamento,2.0,3.0,83.0,75.0,-34.5829094,-58.4240148,alto
PH,3.0,4.0,188.0,131.0,-34.6064837,-58.3862386,bajo
Departamento,1.0,1.0,34.0,33.0,-34.596702,-58.4458442,medio
Departamento,3.0,4.0,124.0,110.0,-34.6126267,-58.3630687,alto
Departamento,1.0,1.0,25.0,25.0,-34.5791744,-58.4543465,medio
Departamento,2.0,3.0,45.0,45.0,-34.6302618,-58.4631993,bajo
